itemid,shopid,name,myJSON_Id,image,currency,stock,status,ctime,sold,historical_sold,liked,liked_count,view_count,catid,brand,cmt_count,flag,cb_option,item_status,price,price_min,price_max,price_min_before_discount,price_max_before_discount,hidden_price_display,price_before_discount,has_lowest_price_guarantee,show_discount,raw_discount,discount,is_category_failed,size_chart,item_type,reference_item_id,transparent_background_image,is_adult,badge_icon_type,shopee_verified,is_official_shop,show_official_shop_label,show_shopee_verified_label,show_official_shop_label_in_title,is_cc_installment_payment_eligible,is_non_cc_installment_payment_eligible,coin_earn_label,show_free_shipping,preview_info,coin_info,exclusive_price_info,bundle_deal_id,can_use_bundle_deal,bundle_deal_info,is_group_buy_item,has_group_buy_stock,group_buy_info,welcome_package_type,welcome_package_info,can_use_wholesale,is_preferred_plus_seller,shop_location,has_model_with_available_shopee_stock,is_on_flash_sale,spl_installment_tenure,is_live_streaming_price,shop_name,shop_rating,is_mart,pack_size,overlay_image,autogen_title,autogen_title_id,overlay_id,is_service_by_shopee,flash_sale_stock,flash_sale_design_style,flash_sale_label_content,flash_sale_sold_percentage,info,data_type,key,count,adsid,campaignid,deduction_info,video_display_control,deep_discount_skin,relationship_label,live_stream_session,new_user_label,wp_eligibility,platform_voucher,rcmd_reason,highlight_video,can_use_cod,pub_id,pub_context_id,friend_relationship_label,showing_rs_label,showing_friend_rs_label,show_flash_sale_label,search_id,ext_info,product_banners,top_product_label,fashion_item,image_search,record_Id
13401467923,225359055,Zotac NVIDIA® GeForce® GTX 1050 Ti Mini 4GB Graphic Card,0,54dae3b225bcb84eab9ee6b1a0da3b5b,PHP,1,1,1630467058,7,135,false,463,,100644,,58,0,0,normal,1005000000,1005000000,1005000000,1249000000,1249000000,,1249000000,false,20,20,20%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,13401467923:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
4759180106,225359055,Colorful GeForce® GTX 1650 New BattleAxe 4GD6-V GRRD6 Graphic Card,1,9f2d2b03930a7a3c5d6960a2e0440de2,PHP,8,1,1603693381,0,42,false,170,,100644,Colorful,21,0,0,normal,1120000000,1120000000,1120000000,1399000000,1399000000,,1399000000,false,20,20,20%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,4759180106:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
12451529588,225359055,Gigabyte NVIDIA® GeForce® GTX 1650 OC Low Profile 4GB GDDR5 Graphic Card,2,1f10bf7c6f8a9176591ee3240e28c0a2,PHP,2,1,1637027685,1,9,false,79,,100644,,6,0,0,normal,1149000000,1149000000,1149000000,1499000000,1499000000,,1499000000,false,23,23,23%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,12451529588:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
4735108380,225359055,NVIDIA® GeForce® Gaming PC: NVIDIA® GeForce RTX™ 3050 8GB with AMD Ryzen™ 5 5500 Gaming Set,3,sg-11134201-22100-pj2iwzdxvriv6b,PHP,1,1,1590330181,0,13,false,368,,100644,NVIDIA,11,0,0,normal,4799000000,4799000000,4799000000,5099000000,5099000000,,5099000000,false,6,6,6%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,4735108380:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
6934615135,225359055,NVIDIA® GeForce® Gaming PC: NVIDIA® GeForce RTX™ 3060  12GB with AMD Ryzen™ 5 5600G Gaming Set,4,sg-11134201-22100-pbrtn040vrive5,PHP,1,1,1589891313,1,12,false,310,,100644,NVIDIA,8,0,0,normal,5399000000,5399000000,5399000000,5999000000,5999000000,,5999000000,true,10,10,10%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,6934615135:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
8517178744,225359055,Asus NVIDIA® GeForce® GTX 1650 OC 4GB Graphic Card,5,f53db0df48cbb42ac3b30a7b600e60ee,PHP,2,1,1614052335,0,17,false,141,,100644,Asus,9,0,0,normal,1309000000,1309000000,1309000000,1399500000,1399500000,,1399500000,true,6,6,6%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,8517178744:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
4436188104,225359055,Palit GeForce® GTX 1650 StormX Edition 4GB Graphic Card,6,ec855227710ddbaa07b14acb8d91d1b2,PHP,1,1,1591082753,4,9,false,51,,100644,Palit,4,0,0,normal,1015000000,1015000000,1015000000,1019000000,1019000000,,1019000000,false,1,1,1%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,4436188104:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
13421325337,225359055,Asus TUF Gaming NVIDIA® GeForce RTX® 3070 Ti OC 8GB GDDR5X Graphic Card,7,sg-11134201-22100-dqy4vuchadiv5a,PHP,1,1,1633274843,0,3,false,38,,100644,,2,0,0,normal,4589000000,4589000000,4589000000,5499000000,5499000000,,5499000000,false,17,17,17%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,13421325337:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
3240492092,225359055,NVIDIA® GeForce® Gaming PC: NVIDIA® GeForce RTX™ 3050 8GB with Intel i5-11400 Gaming Set,8,sg-11134201-22120-8gjoudsz0qkv50,PHP,1,1,1593586385,0,6,false,297,,100644,NVIDIA,4,0,0,normal,5099000000,5099000000,5099000000,7179500000,7179500000,,7179500000,false,29,29,29%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,3240492092:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
13702108279,225359055,Inno3d NVIDIA® GeForce RTX® 3070 Ti iChill X4 8GB GDDR6X Graphic Card,9,sg-11134201-22120-nv7wa9p3bflv6b,PHP,1,1,1630554664,0,6,false,45,,100644,,3,0,0,normal,4539000000,4539000000,4539000000,7099000000,7099000000,,7099000000,false,36,36,36%,,,0,,,false,0,false,true,true,false,true,false,false,,false,,,,0,false,,,,,0,,false,false,Quezon City, Metro Manila,false,false,,,NVIDIA GEFORCE,4.873263,false,,,,,,false,0,,,,,item,13702108279:225359055,0,0,0,,0,,,,false,,,,,false,,,,,,false,,,,,,,0
